Art Savage,0,7,0,male,None,None,None,USA,0%,
Hector Thompson,73,12,2,male,171cm,180cm,orthodox,Australia,31.03%,
Curtis Whitener,4,20,0,male,None,None,None,,4.17%,
Doc McClendon,12,21,2,male,None,None,,USA,14.29%,
Don Branch,2,9,0,male,188cm,None,orthodox,USA,18.18%,
Jose Roman,54,27,4,male,178cm,,orthodox,Puerto Rico,31.40%,
Guts Ishimatsu,31,14,6,male,,171cm,orthodox,Japan,33.33%,
Bob Bozic,14,3,0,male,None,None,None,,41.18%,
Jerry Judge,16,7,2,male,None,,orthodox,USA,52%,
Kevin Isaac,14,8,2,male,None,None,None,,29.17%,
Tony Garcia,13,7,4,male,None,None,None,Puerto Rico,16.67%,
Armando Mendoza,17,6,0,male,,None,orthodox,Venezuela,39.13%,
Lupe Pintor,56,14,2,male,,163cm,orthodox,Mexico,58.33%,
Manuel Vazquez,26,22,1,male,None,None,None,Mexico,32.65%,
Francisco Javier Nunez,24,16,0,male,None,None,None,Mexico,37.50%,
Bob Mashburn,8,11,2,male,None,None,None,,23.81%,
Flash Gallego,24,18,1,male,None,None,None,Philippines,20.93%,
Manuel Castanedas,5,4,0,male,None,None,None,,22.22%,
Hector Matta,25,9,2,male,None,None,None,Puerto Rico,11.11%,
Salvador Martinez Carillo,35,7,1,male,None,None,None,Mexico,55.81%,
Gerrie Coetzee,33,6,1,male,192cm,206cm,orthodox,South Africa,52.50%,
Chris Roos,11,8,2,male,None,None,None,South Africa,14.29%,
Bert van Nikkelen Kuyper,9,12,1,male,160cm,163cm,southpaw,Netherlands,9.09%,
Muhammad Ali,56,5,0,male,191cm,198cm,orthodox,USA,60.66%,
Kosie Oosthuizen,4,6,0,male,None,None,None,South Africa,20%,
Adalberto Vanegas,9,13,5,male,None,None,None,Colombia,10.71%,
Joe Hathaway,2,4,0,male,None,None,None,USA,0%,
Masataka Takayama,22,6,1,male,None,None,,Japan,27.59%,
Ruben Castillo,67,10,2,male,168cm,,orthodox,USA,44.30%,
Frank Ahumada,10,15,1,male,None,None,None,USA,7.69%,
Frank Castro,0,1,0,male,None,None,None,USA,0%,
Andres Salgado,3,8,0,male,None,None,None,,27.27%,
Martin Valencia,4,5,0,male,None,None,None,Mexico,33.33%,
Steve Foley,18,22,2,male,None,None,None,,16.67%,
Ray Lampkin,34,6,1,male,None,None,,USA,39.02%,
Andres Reyes,4,8,0,male,None,None,None,,16.67%,
Regis Rodriguez,0,10,0,male,None,None,None,Mexico,0%,
Oliver Wright,16,16,1,male,187cm,None,None,Jamaica,24.24%,
Juan Aguilar,29,18,11,male,None,None,orthodox,Argentina,8.47%,
Robert Yarborough,12,12,3,male,None,None,None,USA,14.81%,
Hennie Thoonen,14,11,0,male,None,None,None,,44%,
Ernie Smith,13,142,5,male,173cm,None,orthodox,United Kingdom,0.62%,
Rocky Mijares,5,12,1,male,None,None,None,Mexico,27.78%,
Jose Peterson,26,16,1,male,None,None,None,Puerto Rico,32.56%,
Amedeo Laureti,7,8,1,male,None,None,None,,12.50%,
Roberto Alvarez,51,18,3,male,None,None,None,Mexico,44.44%,
Manny Castro,6,18,3,male,None,None,None,USA,3.70%,
Pedro Mendoza,0,12,0,male,None,None,None,Mexico,0%,
Ruben Aguilar,4,8,1,male,None,None,None,Mexico,15.38%,
Obie English,16,7,1,male,188cm,None,orthodox,USA,25%,
Yuma Duran,0,4,0,male,None,None,None,Mexico,0%,
Charlie James,7,12,3,male,None,None,None,USA,13.64%,
Alirio Acuna,1,5,0,male,None,None,None,Venezuela,0%,
Willie Jensen,27,4,2,male,None,None,None,,27.27%,
Edwin Viruet,31,6,2,male,Rico,173cm,None,,35.90%,
Rodney Bobick,37,7,0,male,191cm,None,orthodox,USA,38.64%,
Alvaro Lopez,24,15,1,male,None,None,None,,32.50%,
Tony Alvarado,18,14,2,male,None,None,None,,2.94%,
Catalino Flores,7,31,5,male,None,None,None,USA,2.27%,
Leon Shaw,20,16,1,male,None,None,None,USA,24.32%,
Leoncio Ortiz,41,18,4,male,None,None,None,Mexico,41.27%,
Miguel Meza,10,23,5,male,168cm,183cm,None,USA,10.53%,
Billy Joiner,12,13,3,male,None,None,None,USA,17.86%,
Ron Lyle,43,7,1,male,191cm,193cm,orthodox,USA,60.78%,
Joe Gholston,15,18,2,male,None,None,None,,11.43%,
Alberto Davila,56,10,0,male,None,None,orthodox,USA,,38.81%
Jimmy Richards,26,11,4,male,None,None,None,,26.83%,
Hartmut Sasse,13,12,1,male,None,None,None,,26.92%,
Fred Askew,15,16,2,male,None,None,None,,24.24%,
Johnny Jensen,15,13,4,male,None,None,None,USA,15.63%,
Roy Williams,30,6,0,male,None,None,orthodox,USA,61.11%,
Saoul Mamby,45,34,6,male,173cm,178cm,orthodox,USA,21.18%,
Adrian Luna,0,2,0,male,None,None,None,USA,0%,
Lou Bizzarro,24,3,0,male,None,None,None,,7.41%,
Gallito Castro,1,1,0,male,None,None,None,Mexico,0%,
Manuel Killer,0,1,0,male,None,None,None,Puerto Rico,0%,
Ron Stander,37,21,3,male,180cm,178cm,orthodox,USA,45.90%,
Samuel Machorro,11,8,0,male,None,None,None,Mexico,47.37%,
Emiliano Villa,42,9,3,male,Colombia,None,None,,38.89%,
Ramon Contreras,12,10,1,male,None,None,orthodox,USA,21.74%,
Mike Schutte,38,9,2,male,179cm,None,None,South Africa,57.14%,
Artemio Jeronimo,14,11,1,male,None,None,None,Mexico,26.92%,
Trevor Berbick,49,11,1,male,188cm,198cm,orthodox,Jamaica,54.10%,
Wayne Martin,0,2,0,male,None,None,None,Canada,0%,
Jose Antonio Rosa,20,8,1,male,None,None,None,Puerto Rico,3.45%,
John Dino Denis,45,5,2,male,None,None,None,USA,38.46%,
Michael Dokes,53,6,2,male,191cm,198cm,orthodox,USA,55.74%,
Al Byrd,3,17,1,male,None,None,orthodox,USA,14.29%,
Alvaro Rojas,25,14,0,male,None,None,None,Costa Rica,38.46%,
Kallie Knoetze,21,6,0,male,None,None,orthodox,South Africa,74.07%,
Cookie Valencia,17,15,1,male,None,None,None,USA,30.30%,
Nacho Beltran,2,2,0,male,None,None,None,Mexico,25%,
Bobby Halpern,10,4,0,male,178cm,None,orthodox,USA,50%,
John Dino Denis,45,5,2,male,None,None,None,USA,38.46%,
Michael Dokes,53,6,2,male,191cm,198cm,orthodox,USA,55.74%,
Al Byrd,3,17,1,male,None,None,orthodox,USA,14.29%,
Alvaro Rojas,25,14,0,male,None,None,Costa Rica,,38.46%,
Kallie Knoetze,21,6,0,male,orthodox,None,South Africa,,74.07%,
Cookie Valencia,17,15,1,male,None,None,None,USA,30.30%,
Nacho Beltran,2,2,0,male,None,None,None,Mexico,25%,
Bobby Halpern,10,4,0,male,178cm,None,orthodox,USA,50%,
James Mathatho,15,14,1,male,None,None,None,,26.67%,
Jose Angel Cazares,14,15,1,male,None,None,None,Mexico,26.67%,
Michael Ace Lucas,0,1,0,male,None,None,None,USA,0%,
Sergio Gustavo Rodriguez,24,26,2,male,orthodox,160cm,Argentina,,18.87%,
Leon Spinks,26,17,3,male,185cm,193cm,orthodox,USA,30.43%,
Battling Bob Smith,5,7,1,male,None,None,None,USA,30.77%,
Tom Prater,24,21,1,male,None,None,None,,32.61%,
Pedro Agosto,28,14,1,male,orthodox,None,None,Puerto Rico,51.16%,
Joe Maye,3,45,2,male,None,None,None,USA,2%,
Dave Wilson,6,6,0,male,None,None,orthodox,USA,25%,
Vilomar Fernandez,30,11,2,male,None,None,Dominican Republic,20.93%,,
Ray Leonard,36,3,1,male,orthodox,175cm,,USA,62.50%,
Luis Vega,10,27,3,male,None,None,orthodox,USA,7.50%,
Evaristo Perez,3,11,0,male,None,None,None,Mexico,7.14%,
Peter Freeman,14,10,0,male,None,None,None,,45.83%,
Charlie Jordan,14,48,2,male,170cm,None,None,USA,1.56%,
Kenny Weldon,43,7,1,male,None,None,None,USA,33.33%,
Orlando Amores,36,9,0,male,orthodox,None,Panama,,53.33%,
Jimmy Young,35,18,3,male,188cm,None,orthodox,USA,19.30%,
Horace Robinson,8,6,0,male,None,None,None,USA,28.57%,
Pierre Fourie,52,7,1,male,182cm,183cm,orthodox,South Africa,16.67%,
Walter Seeley,30,5,3,male,None,None,southpaw,USA,10.53%,
Ed Turner,22,25,1,male,None,None,None,USA,22.92%,
Gabby Cantera,25,10,0,male,None,None,None,USA,62.86%,
Willie Rodriguez,30,13,0,male,orthodox,175cm,None,Puerto Rico,23.26%,
Javier Muniz,21,9,1,male,None,None,None,USA,32.26%,
Enrique Brown,0,3,0,male,None,None,None,None,0%,
Bruce Scott,27,10,0,male,orthodox,None,None,United Kingdom,48.65%,
